split,condition,method,target,region,metric,value
test,primary,oracle_gpfa_residual_diagnostic,observation_residual,all,residual_lag1_autocorrelation,-0.1094149770139866
stress,correlated_residuals,oracle_gpfa_residual_diagnostic,observation_residual,all,residual_mean_abs_max,0.20603766645088992
stress,correlated_residuals,oracle_gpfa_residual_diagnostic,observation_residual,all,residual_variance_mean,0.25713301025537594
stress,correlated_residuals,oracle_gpfa_residual_diagnostic,observation_residual,all,residual_max_offdiagonal_covariance,0.11421507312548268
stress,correlated_residuals,oracle_gpfa_residual_diagnostic,observation_residual,all,residual_lag1_autocorrelation,-0.15637926447509778
stress,changepoint,oracle_gpfa_oversmoothing_diagnostic,latent_recovery,around_step,latent_rmse,0.24183818449654262
stress,changepoint,oracle_gpfa_oversmoothing_diagnostic,latent_recovery,outside_step,latent_rmse,0.17735556236749803
stress,changepoint,oracle_gpfa_oversmoothing_diagnostic,latent_recovery,around_step,latent_95_coverage,0.90000000000000002
test,equal_kernels,oracle_gpfa_equal_tau,observation_distribution,complete_trial,marginal_nll_per_entry,0.88097688603092339
test,equal_kernels,oracle_gpfa_equal_tau,latent_posterior,all,latent_rmse,0.16761785911103322
test,equal_kernels,oracle_gpfa_equal_tau,latent_posterior,all,latent_95_coverage,0.97916666666666663
test,equal_kernels,oracle_gpfa_equal_tau,latent_posterior,all,mean_posterior_variance,0.036532612164488748
test,equal_kernels,oracle_gpfa_equal_tau,latent_posterior,all,posterior_roughness,0.035710049817988712
test,equal_kernels,oracle_gpfa_equal_tau,latent_posterior,unmasked_time_region,latent_rmse,0.16761785911103322
test,equal_kernels,oracle_gpfa_equal_tau,latent_posterior,unmasked_time_region,latent_95_coverage,0.97916666666666663
test,equal_kernels,equal_kernel_static_pca,train_frozen_procrustes_latent_path,all,latent_rmse,0.77124541597147822
stress,equal_kernels,equal_kernel_static_pca,joint_2d_loading_subspace,all,loading_subspace_angle_degrees,5.248860201140916
