dt,sigma,replicate,model,output,feature,coefficient,true_coefficient
0.025,0.02,1,permuted,dy,x,0.283931914696,2
0.025,0.02,1,permuted,dy,y,0.126073347556,1
0.025,0.02,1,permuted,dy,x2,0.060874695072,0
0.025,0.02,1,permuted,dy,xy,-0.107475102343,0
0.025,0.02,1,permuted,dy,y2,-0.0225980876181,0
0.025,0.02,1,permuted,dy,x3,-0.313572905963,0
0.025,0.02,1,permuted,dy,x2y,0.00656250240702,-1
0.025,0.02,1,permuted,dy,xy2,-0.137941601064,0
0.025,0.02,1,permuted,dy,y3,-0.126019866924,-1
0.025,0.02,2,cubic,dx,1,0.0105370990218,0
0.025,0.02,2,cubic,dx,x,0.982948401437,1
0.025,0.02,2,cubic,dx,y,-2.01065272381,-2
0.025,0.02,2,cubic,dx,x2,-0.0134063974531,0
0.025,0.02,2,cubic,dx,xy,0.00518788605552,0
0.025,0.02,2,cubic,dx,y2,-0.00846829182231,0
0.025,0.02,2,cubic,dx,x3,-0.986529210632,-1
0.025,0.02,2,cubic,dx,x2y,-0.0124726256892,0
0.025,0.02,2,cubic,dx,xy2,-0.974305787511,-1
0.025,0.02,2,cubic,dx,y3,0.0190485475121,0
0.025,0.02,2,cubic,dy,1,-0.000859399246597,0
0.025,0.02,2,cubic,dy,x,1.99177724207,2
0.025,0.02,2,cubic,dy,y,0.980378361257,1
0.025,0.02,2,cubic,dy,x2,0.0024905453566,0
0.025,0.02,2,cubic,dy,xy,0.0066881915709,0
0.025,0.02,2,cubic,dy,y2,-0.000744912305959,0
0.025,0.02,2,cubic,dy,x3,0.00326452453393,0
0.025,0.02,2,cubic,dy,x2y,-0.969085933532,-1
0.025,0.02,2,cubic,dy,xy2,0.0191913364581,0
0.025,0.02,2,cubic,dy,y3,-0.980146494322,-1
0.025,0.02,2,affine,dx,1,0.00471060642546,0
0.025,0.02,2,affine,dx,x,0.0180785635567,1
0.025,0.02,2,affine,dx,y,-1.99802404683,-2
0.025,0.02,2,affine,dx,x2,0,0
0.025,0.02,2,affine,dx,xy,0,0
0.025,0.02,2,affine,dx,y2,0,0
0.025,0.02,2,affine,dx,x3,0,-1
0.025,0.02,2,affine,dx,x2y,0,0
0.025,0.02,2,affine,dx,xy2,0,-1
0.025,0.02,2,affine,dx,y3,0,0
0.025,0.02,2,affine,dy,1,0.0193502984855,0
0.025,0.02,2,affine,dy,x,2.00029424933,2
0.025,0.02,2,affine,dy,y,0.0191918626273,1
0.025,0.02,2,affine,dy,x2,0,0
0.025,0.02,2,affine,dy,xy,0,0
0.025,0.02,2,affine,dy,y2,0,0
0.025,0.02,2,affine,dy,x3,0,0
0.025,0.02,2,affine,dy,x2y,0,-1
0.025,0.02,2,affine,dy,xy2,0,0
0.025,0.02,2,affine,dy,y3,0,-1
0.025,0.02,2,permuted,dx,1,-0.143971562593,0
0.025,0.02,2,permuted,dx,x,-0.177750388174,1
0.025,0.02,2,permuted,dx,y,-0.198844602817,-2
0.025,0.02,2,permuted,dx,x2,0.0377445502762,0
0.025,0.02,2,permuted,dx,xy,-0.0292626871638,0
0.025,0.02,2,permuted,dx,y2,0.086143574527,0
0.025,0.02,2,permuted,dx,x3,0.129608173266,-1
0.025,0.02,2,permuted,dx,x2y,0.296360738348,0
0.025,0.02,2,permuted,dx,xy2,0.104228051296,-1
0.025,0.02,2,permuted,dx,y3,0.156134877749,0
0.025,0.02,2,permuted,dy,1,0.0947867590218,0
0.025,0.02,2,permuted,dy,x,0.0686233655884,2
0.025,0.02,2,permuted,dy,y,-0.135972174535,1
0.025,0.02,2,permuted,dy,x2,-0.0143576496898,0
0.025,0.02,2,permuted,dy,xy,-0.0503952120146,0
0.025,0.02,2,permuted,dy,y2,-0.108601166285,0
0.025,0.02,2,permuted,dy,x3,-0.118650347881,0
0.025,0.02,2,permuted,dy,x2y,0.279991562064,-1
0.025,0.02,2,permuted,dy,xy2,-0.123972920795,0
0.025,0.02,2,permuted,dy,y3,0.101344131154,-1
0.025,0.02,3,cubic,dx,1,-0.000627278258509,0
0.025,0.02,3,cubic,dx,x,0.984894483233,1
0.025,0.02,3,cubic,dx,y,-2.01268830311,-2
0.025,0.02,3,cubic,dx,x2,0.000532651068722,0
0.025,0.02,3,cubic,dx,xy,0.00673634615338,0
0.025,0.02,3,cubic,dx,y2,0.00041900858725,0
0.025,0.02,3,cubic,dx,x3,-0.98517251038,-1
0.025,0.02,3,cubic,dx,x2y,0.0157485018481,0
0.025,0.02,3,cubic,dx,xy2,-0.989277885754,-1
0.025,0.02,3,cubic,dx,y3,0.0111784755233,0
0.025,0.02,3,cubic,dy,1,0.00123456390839,0
0.025,0.02,3,cubic,dy,x,1.98263542393,2
0.025,0.02,3,cubic,dy,y,0.980323604425,1
0.025,0.02,3,cubic,dy,x2,-0.00068157359075,0
0.025,0.02,3,cubic,dy,xy,-0.00168214989647,0
0.025,0.02,3,cubic,dy,y2,0.00159260215311,0
0.025,0.02,3,cubic,dy,x3,0.0211635611288,0
0.025,0.02,3,cubic,dy,x2y,-0.971290106675,-1
0.025,0.02,3,cubic,dy,xy2,0.00958135964605,0
0.025,0.02,3,cubic,dy,y3,-0.983832087897,-1
0.025,0.02,3,affine,dx,1,0.00419925098175,0
0.025,0.02,3,affine,dx,x,0.0173088207918,1
0.025,0.02,3,affine,dx,y,-1.99950166868,-2
0.025,0.02,3,affine,dx,x2,0,0
0.025,0.02,3,affine,dx,xy,0,0
0.025,0.02,3,affine,dx,y2,0,0
0.025,0.02,3,affine,dx,x3,0,-1
0.025,0.02,3,affine,dx,x2y,0,0
0.025,0.02,3,affine,dx,xy2,0,-1
0.025,0.02,3,affine,dx,y3,0,0
0.025,0.02,3,affine,dy,1,0.02083847695,0
0.025,0.02,3,affine,dy,x,2.00191912228,2
0.025,0.02,3,affine,dy,y,0.0162007007676,1
0.025,0.02,3,affine,dy,x2,0,0
0.025,0.02,3,affine,dy,xy,0,0
0.025,0.02,3,affine,dy,y2,0,0
0.025,0.02,3,affine,dy,x3,0,0
0.025,0.02,3,affine,dy,x2y,0,-1
0.025,0.02,3,affine,dy,xy2,0,0
0.025,0.02,3,affine,dy,y3,0,-1
0.025,0.02,3,permuted,dx,1,-0.106332134703,0
0.025,0.02,3,permuted,dx,x,-0.214854617399,1
0.025,0.02,3,permuted,dx,y,0.104003060755,-2
0.025,0.02,3,permuted,dx,x2,0.0276662557906,0
0.025,0.02,3,permuted,dx,xy,-0.0572869592872,0
0.025,0.02,3,permuted,dx,y2,-0.00110889592461,0
0.025,0.02,3,permuted,dx,x3,0.198417794706,-1
0.025,0.02,3,permuted,dx,x2y,-0.172051099956,0
0.025,0.02,3,permuted,dx,xy2,0.293603972304,-1
0.025,0.02,3,permuted,dx,y3,-0.0862527979512,0
0.025,0.02,3,permuted,dy,1,0.0957221671765,0
0.025,0.02,3,permuted,dy,x,-0.0961740454664,2
0.025,0.02,3,permuted,dy,y,0.026989017956,1
0.025,0.02,3,permuted,dy,x2,-0.0930173685417,0
0.025,0.02,3,permuted,dy,xy,0.069250635229,0
0.025,0.02,3,permuted,dy,y2,-0.0410297478767,0
0.025,0.02,3,permuted,dy,x3,0.161858095751,0
0.025,0.02,3,permuted,dy,x2y,0.121512021226,-1
0.025,0.02,3,permuted,dy,xy2,-0.0433816515972,0
0.025,0.02,3,permuted,dy,y3,-0.042878659584,-1
0.025,0.02,4,cubic,dx,1,0.00443263445706,0
0.025,0.02,4,cubic,dx,x,1.00021869266,1
0.025,0.02,4,cubic,dx,y,-2.00523941347,-2
0.025,0.02,4,cubic,dx,x2,-0.00767089248919,0
0.025,0.02,4,cubic,dx,xy,0.00755480175494,0
0.025,0.02,4,cubic,dx,y2,-0.00257096468357,0
0.025,0.02,4,cubic,dx,x3,-0.9989511292,-1
0.025,0.02,4,cubic,dx,x2y,0.0229488454736,0
0.025,0.02,4,cubic,dx,xy2,-1.00299186638,-1
0.025,0.02,4,cubic,dx,y3,0.000111273895615,0
0.025,0.02,4,cubic,dy,1,-0.00533264625129,0
0.025,0.02,4,cubic,dy,x,1.97865023218,2
0.025,0.02,4,cubic,dy,y,0.991925961152,1
0.025,0.02,4,cubic,dy,x2,0.00436529813659,0
0.025,0.02,4,cubic,dy,xy,0.00450553908113,0
0.025,0.02,4,cubic,dy,y2,0.00911622304728,0
0.025,0.02,4,cubic,dy,x3,0.0277006152288,0
0.025,0.02,4,cubic,dy,x2y,-0.982846502982,-1
0.025,0.02,4,cubic,dy,xy2,0.00633723732967,0
0.025,0.02,4,cubic,dy,y3,-0.99681528452,-1
0.025,0.02,4,affine,dx,1,0.00463416270703,0
0.025,0.02,4,affine,dx,x,0.0195956326482,1
0.025,0.02,4,affine,dx,y,-1.99856243074,-2
0.025,0.02,4,affine,dx,x2,0,0
0.025,0.02,4,affine,dx,xy,0,0
0.025,0.02,4,affine,dx,y2,0,0
0.025,0.02,4,affine,dx,x3,0,-1
0.025,0.02,4,affine,dx,x2y,0,0
0.025,0.02,4,affine,dx,xy2,0,-1
0.025,0.02,4,affine,dx,y3,0,0
0.025,0.02,4,affine,dy,1,0.0207230583609,0
0.025,0.02,4,affine,dy,x,2.0014609269,2
0.025,0.02,4,affine,dy,y,0.0148608049212,1
0.025,0.02,4,affine,dy,x2,0,0
0.025,0.02,4,affine,dy,xy,0,0
0.025,0.02,4,affine,dy,y2,0,0
0.025,0.02,4,affine,dy,x3,0,0
