dt,sigma,replicate,split,model,unit,metric,value
0.025,0,0,test,cubic,traj_012,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_012,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_012,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_012,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_012,rollout_failure,0
0.025,0,0,test,cubic,traj_013,one_step_rmse,1.91188365346e-05
0.025,0,0,test,cubic,traj_013,oracle_rollout_rmse,0.00127510896747
0.025,0,0,test,cubic,traj_013,observed_rollout_rmse,0.00111598219851
0.025,0,0,test,cubic,traj_013,oracle_radial_rmse,0.000312053035581
0.025,0,0,test,cubic,traj_013,observed_radial_rmse,0.000358220602584
0.025,0,0,test,cubic,traj_013,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_013,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_013,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_013,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_013,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_013,rollout_failure,0
0.025,0,0,test,cubic,traj_014,one_step_rmse,1.68086400209e-05
0.025,0,0,test,cubic,traj_014,oracle_rollout_rmse,0.000540141410465
0.025,0,0,test,cubic,traj_014,observed_rollout_rmse,0.00141269908033
0.025,0,0,test,cubic,traj_014,oracle_radial_rmse,0.000193124987873
0.025,0,0,test,cubic,traj_014,observed_radial_rmse,0.00019336423182
0.025,0,0,test,cubic,traj_014,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_014,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_014,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_014,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_014,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_014,rollout_failure,0
0.025,0,0,test,cubic,traj_015,one_step_rmse,1.33272659782e-05
0.025,0,0,test,cubic,traj_015,oracle_rollout_rmse,0.000481519764917
0.025,0,0,test,cubic,traj_015,observed_rollout_rmse,0.00126394883509
0.025,0,0,test,cubic,traj_015,oracle_radial_rmse,0.000188500155473
0.025,0,0,test,cubic,traj_015,observed_radial_rmse,0.000192449490484
0.025,0,0,test,cubic,traj_015,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_015,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_015,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_015,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_015,observed_pre_failure_horizon,7.7
