split,condition,parameter_source,method,inference_target,region,metric,value
test,missing_block,known_true,kalman_filter,online_state,all,interval_95_coverage,0.94374999999999998
test,missing_block,known_true,kalman_filter,online_state,all,mean_posterior_variance,0.16863413226595272
test,missing_block,known_true,kalman_filter,online_state,inside_missing_block,latent_rmse,0.61477255281123611
test,missing_block,known_true,kalman_filter,online_state,inside_missing_block,interval_95_coverage,0.91666666666666663
test,missing_block,known_true,kalman_filter,online_state,inside_missing_block,mean_posterior_variance,0.32083611145135738
test,missing_block,known_true,kalman_filter,online_state,outside_missing_block,latent_rmse,0.36492778075000726
test,missing_block,known_true,kalman_filter,online_state,outside_missing_block,interval_95_coverage,0.94999999999999996
test,missing_block,known_true,kalman_filter,online_state,outside_missing_block,mean_posterior_variance,0.13351059860778242
test,missing_block,known_true,rts_smoother,retrospective_state,all,latent_rmse,0.38897575347375496
test,missing_block,known_true,rts_smoother,retrospective_state,all,interval_95_coverage,0.93906250000000002
test,missing_block,known_true,rts_smoother,retrospective_state,all,mean_posterior_variance,0.1365271245939253
test,missing_block,known_true,rts_smoother,retrospective_state,inside_missing_block,latent_rmse,0.59503081644832045
test,missing_block,known_true,rts_smoother,retrospective_state,inside_missing_block,interval_95_coverage,0.91666666666666663
test,missing_block,known_true,rts_smoother,retrospective_state,inside_missing_block,mean_posterior_variance,0.28274943643133382
test,missing_block,known_true,rts_smoother,retrospective_state,outside_missing_block,latent_rmse,0.32328234516954152
test,missing_block,known_true,rts_smoother,retrospective_state,outside_missing_block,interval_95_coverage,0.94423076923076921
test,missing_block,known_true,rts_smoother,retrospective_state,outside_missing_block,mean_posterior_variance,0.10278351416990796
test,missing_block,baseline,stationary_mean,point_state,all,latent_rmse,0.61600626940280057
test,missing_block,baseline,stationary_mean,point_state,inside_missing_block,latent_rmse,0.68695801085944785
test,missing_block,baseline,stationary_mean,point_state,outside_missing_block,latent_rmse,0.59843935860414244
test,missing_block,baseline,persistence,point_state,all,latent_rmse,0.70135857141758495
test,missing_block,baseline,persistence,point_state,inside_missing_block,latent_rmse,0.99596447327222559
